State,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
AK,"3,439","6,335,034",9.4,13.1,48,0,0,26.2,0.7,2.7,0,0,0
AL,"38,354","142,863,240",24,0,40.5,0,27.9,5.2,2.3,0,0,0,0
AR,"19,536","60,445,059",39.4,0.1,30.1,0,22.2,6,2.3,0,0,0,0
AZ,"40,135","108,734,631",28,0,31.4,0,29.8,6.6,0.2,0.5,3.4,0,0
CA,"106,793","197,323,837",0.2,0.1,49.2,0.7,9.6,14.5,3.1,6.8,9.8,5.8,0.2
CO,"19,873","54,418,480",55,0,23.3,0,0,3,0.3,17.3,1,0,0.1
CT,"11,789","36,496,560",0.5,0.3,49.2,0,45.4,0.6,3.9,0,0.1,0,0
DC,25,"76,474",0,1.3,29.7,0,0,0,69,0,0,0,0
DE,"4,011","8,731,261",5.5,0.7,89.2,3.2,0,0,0.8,0.1,0.6,0,0
FL,"100,751","238,226,428",16.6,1.2,66.5,0,12.3,0.1,2.6,0,0.1,0,0.7
GA,"51,336","132,902,274",28.5,0.2,39.8,0.1,25.9,1.4,3.4,0,0.7,0,0
HI,"3,502","9,948,845",15.1,66.7,0,0.6,0,0.9,5.6,6.4,0.9,2.6,1.1
IA,"22,304","54,396,531",46.3,0.5,5.4,0,8.6,1.7,0.5,36.9,0,0,0
ID,"6,212","15,660,938",0.2,0,21.2,0,0,57.7,3.4,16.5,0.2,0.5,0.4
IL,"62,748","187,437,381",31.7,0,9.3,0.1,52.6,0.1,0.2,5.7,0,0,0.2
IN,"40,933","101,397,209",71.3,0.6,19.7,2.2,0,0.4,0.4,4.8,0.2,0,0.3
KS,"19,888","47,599,990",48.5,0.1,4.3,0,17.3,0.1,0.1,29.6,0,0,0
KY,"31,179","80,273,501",83.2,1.5,10.3,0.1,0,4.3,0.6,0,0,0,0
LA,"36,572","106,842,115",11.2,4.5,61.8,2,16.1,1,2.7,0,0,0,0.6
MA,"19,517","31,951,671",5.9,1.3,66.2,0,16.9,0.7,6.5,0.7,1.9,0,0
MD,"18,265","37,166,747",37.2,0.4,14.6,0,39.7,3.7,2.3,1.4,0.6,0,0
ME,"5,718","11,514,427",0.6,1,30.4,1.3,0,26.1,25.3,14.5,0,0,0.9
MI,"36,977","112,121,790",36.1,0.7,26.1,1.6,28.1,0.7,2.4,4.2,0,0,0
MN,"21,832","60,036,476",38.7,0.1,14.9,0,23.1,2,3.6,17.5,0,0,0.2
MO,"24,748","78,611,513",76.7,0.1,7.7,0,12,1.8,0.2,1.4,0,0,0
MS,"19,600","62,881,295",8.5,0,79.7,0,9.4,0,2.4,0,0,0,0
MT,"7,259","27,783,530",51.4,1.7,1.7,0,0,36.3,0.1,7.7,0,0,1.2
NC,"48,224","130,768,153",28.6,0.2,30,0.3,32.7,3.4,2,0,2.6,0,0.2
ND,"9,442","37,856,452",70.2,0.1,2.8,0.1,0,5.1,0,21.6,0,0,0.1
NE,"10,004","37,197,843",58.8,0,1.4,0,25.1,4.1,0.3,10.2,0,0,0
NH,"4,650","19,282,493",2.2,0.2,24.6,0,55.8,5.9,9,2.2,0,0,0
NJ,"28,577","77,598,197",1.7,0.2,56.3,0.3,38.4,0,2,0,1.1,0,0.1
NM,"13,286","32,922,552",55.8,0.2,30.2,0,0,0.4,0.1,11,2.3,0,0
NV,"19,954","39,228,694",5.5,0,73.7,0,0,4.6,0.1,0.9,6.5,8.5,0.1
NY,"51,336","134,090,833",1.3,0.5,42.1,0,31,19.7,2.3,2.9,0.1,0,0
OH,"46,931","118,922,078",57.8,1,24.3,0.6,14.1,0.4,0.6,1,0.1,0,0
OK,"33,525","78,655,008",24.4,0,46.4,0,0,3.2,0.5,25.5,0,0,0
OR,"19,278","60,181,812",3.2,0,25.4,0,0,57.4,1.7,11.9,0.1,0.3,0
PA,"68,559","215,066,508",25.4,0.2,31.6,0.2,38.6,0.8,1.5,1.6,0,0,0
RI,"2,398","6,564,885",0,0.4,95.8,0,0,0,3.1,0.4,0.2,0,0
SC,"31,485","96,985,764",21.7,0.1,16.9,0,57.6,1.3,2.5,0,0,0,0
SD,"5,438","10,289,416",20.2,0,8.9,0,0,40.2,0,30.6,0,0,0
TN,"27,973","79,340,633",39.3,0.2,14.3,0,37.3,7.7,1.2,0,0.1,0,0
TX,"182,434","453,941,342",26.7,0,49.8,0.6,9.3,0.3,0.4,12.7,0.2,0,0.1
UT,"11,044","38,133,928",68,0.1,22.8,0.1,0,2,0.2,2.2,2.8,1.3,0.5
VA,"34,581","92,554,816",17.8,0.6,44.2,0,32.1,0.3,4.9,0,0,0,0
VT,796,"1,911,207",0,0.2,0.1,0,0,56.4,25,15.2,3.1,0,0
WA,"34,016","114,086,583",4,0,9.6,0.4,8.4,68.7,1.8,7,0,0,0
WI,"23,414","64,966,611",51.4,0.2,23.8,0,15.6,4.3,2.3,2.3,0,0,0
WV,"20,626","75,942,968",94.2,0.2,1.6,0,0,2.2,0,1.9,0,0,0
WY,"13,744","46,656,630",85.8,0.1,1.7,0.8,0,2.1,0,9.4,0,0,0.1
U.S.,"1,515,007","4,075,322,641",30.4,0.6,33.8,0.3,19.8,6.4,1.7,5.6,0.9,0.4,0.1
,,,,,,,,,,,,Created:,2/15/2018
